,Trail Name,compound,RF_Sentiment,name_from_alltrails,name,area_name,city_name,state_name,country_name,length,elevation_gain,difficulty_rating,route_type,avg_rating,num_reviews,features,activities,river,beach,strollers,forest,city-walk,partially-paved,kids,rails-trails,dogs,waterfall,dogs-leash,ada,paved,hot-springs,views,dogs-no,cave,historic-site,wildlife,wild-flowers,lake,mountain-biking,surfing,off-road-driving,camping,walking,fishing,whitewater-kayaking,road-biking,horseback-riding,rails-trails.1,skiing,backpacking,scenic-driving,paddle-sports,sea-kayaking,canoeing,trail-running,bike-touring,birding,rock-climbing,cross-country-skiing,snowshoeing,ice-climbing,snowboarding,hiking,fly-fishing,nature-trips,update_name,update_state,trail_url,Lat,Lng
0,20 Lakes Basin Loop,0.8906428571428571,1,Tiaga Loop and Horseshoe Lake Trail to Beaver Dam,Tiaga Loop and Horseshoe Lake Trail to Beaver Dam,Denali National Park,Denali National Park,Alaska,United States,4828.02,158.8008,3,loop,4.5,15,"['dogs-no', 'forest', 'lake', 'views']","['birding', 'hiking', 'nature-trips', 'walking']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,Tiaga-Loop-and-Horseshoe-Lake-Trail-to-Beaver-Dam,Alaska,https://www.alltrails.com/trail/us/Alaska/Tiaga-Loop-and-Horseshoe-Lake-Trail-to-Beaver-Dam,63.73128,-148.9171
1,42-mile Scenic Loop Drive,0.70477,0,Tiaga Loop and Horseshoe Lake Trail to Beaver Dam,Tiaga Loop and Horseshoe Lake Trail to Beaver Dam,Denali National Park,Denali National Park,Alaska,United States,4828.02,158.8008,3,loop,4.5,15,"['dogs-no', 'forest', 'lake', 'views']","['birding', 'hiking', 'nature-trips', 'walking']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,Tiaga-Loop-and-Horseshoe-Lake-Trail-to-Beaver-Dam,Alaska,https://www.alltrails.com/trail/us/Alaska/Tiaga-Loop-and-Horseshoe-Lake-Trail-to-Beaver-Dam,63.73128,-148.9171
2,Alder Lake Park,0.8365,1,Tiaga Loop and Horseshoe Lake Trail to Beaver Dam,Tiaga Loop and Horseshoe Lake Trail to Beaver Dam,Denali National Park,Denali National Park,Alaska,United States,4828.02,158.8008,3,loop,4.5,15,"['dogs-no', 'forest', 'lake', 'views']","['birding', 'hiking', 'nature-trips', 'walking']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,Tiaga-Loop-and-Horseshoe-Lake-Trail-to-Beaver-Dam,Alaska,https://www.alltrails.com/trail/us/Alaska/Tiaga-Loop-and-Horseshoe-Lake-Trail-to-Beaver-Dam,63.73128,-148.9171
3,Bear Lake State Park,0.67397,0,Tiaga Loop and Horseshoe Lake Trail to Beaver Dam,Tiaga Loop and Horseshoe Lake Trail to Beaver Dam,Denali National Park,Denali National Park,Alaska,United States,4828.02,158.8008,3,loop,4.5,15,"['dogs-no', 'forest', 'lake', 'views']","['birding', 'hiking', 'nature-trips', 'walking']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,Tiaga-Loop-and-Horseshoe-Lake-Trail-to-Beaver-Dam,Alaska,https://www.alltrails.com/trail/us/Alaska/Tiaga-Loop-and-Horseshoe-Lake-Trail-to-Beaver-Dam,63.73128,-148.9171
4,Bradley Lake Park,0.8561,1,Tiaga Loop and Horseshoe Lake Trail to Beaver Dam,Tiaga Loop and Horseshoe Lake Trail to Beaver Dam,Denali National Park,Denali National Park,Alaska,United States,4828.02,158.8008,3,loop,4.5,15,"['dogs-no', 'forest', 'lake', 'views']","['birding', 'hiking', 'nature-trips', 'walking']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,Tiaga-Loop-and-Horseshoe-Lake-Trail-to-Beaver-Dam,Alaska,https://www.alltrails.com/trail/us/Alaska/Tiaga-Loop-and-Horseshoe-Lake-Trail-to-Beaver-Dam,63.73128,-148.9171
5,Breakneck Ridge Loop,0.39204,0,Tiaga Loop and Horseshoe Lake Trail to Beaver Dam,Tiaga Loop and Horseshoe Lake Trail to Beaver Dam,Denali National Park,Denali National Park,Alaska,United States,4828.02,158.8008,3,loop,4.5,15,"['dogs-no', 'forest', 'lake', 'views']","['birding', 'hiking', 'nature-trips', 'walking']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,Tiaga-Loop-and-Horseshoe-Lake-Trail-to-Beaver-Dam,Alaska,https://www.alltrails.com/trail/us/Alaska/Tiaga-Loop-and-Horseshoe-Lake-Trail-to-Beaver-Dam,63.73128,-148.9171
6,Chaos Crags and Jumbles,0.35803,0,Tiaga Loop and Horseshoe Lake Trail to Beaver Dam,Tiaga Loop and Horseshoe Lake Trail to Beaver Dam,Denali National Park,Denali National Park,Alaska,United States,4828.02,158.8008,3,loop,4.5,15,"['dogs-no', 'forest', 'lake', 'views']","['birding', 'hiking', 'nature-trips', 'walking']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,Tiaga-Loop-and-Horseshoe-Lake-Trail-to-Beaver-Dam,Alaska,https://www.alltrails.com/trail/us/Alaska/Tiaga-Loop-and-Horseshoe-Lake-Trail-to-Beaver-Dam,63.73128,-148.9171
7,Cracker Lake Hike,0.90282,1,Tiaga Loop and Horseshoe Lake Trail to Beaver Dam,Tiaga Loop and Horseshoe Lake Trail to Beaver Dam,Denali National Park,Denali National Park,Alaska,United States,4828.02,158.8008,3,loop,4.5,15,"['dogs-no', 'forest', 'lake', 'views']","['birding', 'hiking', 'nature-trips', 'walking']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,Tiaga-Loop-and-Horseshoe-Lake-Trail-to-Beaver-Dam,Alaska,https://www.alltrails.com/trail/us/Alaska/Tiaga-Loop-and-Horseshoe-Lake-Trail-to-Beaver-Dam,63.73128,-148.9171
8,Crater Lake National Park,0.8683500000000001,1,Tiaga Loop and Horseshoe Lake Trail to Beaver Dam,Tiaga Loop and Horseshoe Lake Trail to Beaver Dam,Denali National Park,Denali National Park,Alaska,United States,4828.02,158.8008,3,loop,4.5,15,"['dogs-no', 'forest', 'lake', 'views']","['birding', 'hiking', 'nature-trips', 'walking']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,Tiaga-Loop-and-Horseshoe-Lake-Trail-to-Beaver-Dam,Alaska,https://www.alltrails.com/trail/us/Alaska/Tiaga-Loop-and-Horseshoe-Lake-Trail-to-Beaver-Dam,63.73128,-148.9171
9,Devil's Lake State Park,0.73095,0,Tiaga Loop and Horseshoe Lake Trail to Beaver Dam,Tiaga Loop and Horseshoe Lake Trail to Beaver Dam,Denali National Park,Denali National Park,Alaska,United States,4828.02,158.8008,3,loop,4.5,15,"['dogs-no', 'forest', 'lake', 'views']","['birding', 'hiking', 'nature-trips', 'walking']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,Tiaga-Loop-and-Horseshoe-Lake-Trail-to-Beaver-Dam,Alaska,https://www.alltrails.com/trail/us/Alaska/Tiaga-Loop-and-Horseshoe-Lake-Trail-to-Beaver-Dam,63.73128,-148.9171
