,Trail Name,compound,RF_Sentiment,name,area_name,city_name,state_name,country_name,length,elevation_gain,difficulty_rating,route_type,avg_rating,num_reviews,features,activities,river,beach,strollers,forest,city-walk,partially-paved,kids,rails-trails,dogs,waterfall,dogs-leash,ada,paved,hot-springs,views,dogs-no,cave,historic-site,wildlife,wild-flowers,lake,mountain-biking,surfing,off-road-driving,camping,walking,fishing,whitewater-kayaking,road-biking,horseback-riding,rails-trails.1,skiing,backpacking,scenic-driving,paddle-sports,sea-kayaking,canoeing,trail-running,bike-touring,birding,rock-climbing,cross-country-skiing,snowshoeing,ice-climbing,snowboarding,hiking,fly-fishing,nature-trips,update_name,update_state,trail_url,Lat,Lng
0,99 Mile Wilderness Waterway,0.530985714,0,Wilderness Waterway,Everglades National Park,Homestead,Florida,United States,143070.326,5.7912,3,point to point,4,1,"['dogs-no', 'kids', 'river', 'views', 'wildlife']","['birding', 'nature-trips', 'paddle-sports', 'canoeing']",1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,Wilderness-Waterway,Florida,https://www.alltrails.com/trail/us/Florida/Wilderness-Waterway,25.14256,-80.92243
1,Abrams Falls Trail,0.87441,1,Abrams Falls Trail,Great Smoky Mountains National Park,Townsend,Tennessee,United States,7885.766,191.7192,3,out and back,4.5,965,"['dogs-no', 'forest', 'river', 'views', 'waterfall', 'wild-flowers', 'wildlife']",['hiking'],1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Abrams-Falls-Trail,Tennessee,https://www.alltrails.com/trail/us/Tennessee/Abrams-Falls-Trail,35.59095,-83.85201
2,Adams Falls Trail,0.71432,0,Adams Falls Trail,Rocky Mountain National Park,Grand Lake,Colorado,United States,1126.538,29.8704,1,loop,4.5,522,"['dogs-no', 'forest', 'kids', 'river', 'views', 'waterfall', 'wildlife']","['hiking', 'nature-trips', 'walking', 'horseback-riding']",1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,Adams-Falls-Trail,Colorado,https://www.alltrails.com/trail/us/Colorado/Adams-Falls-Trail,40.23941,-105.79999
3,Adobe Creek Loop Trail,0.8519,1,Alder Creek Loop Trail,Yosemite National Park,Yosemite Valley,California,United States,25427.572,723.9,3,loop,4,17,"['dogs-no', 'forest', 'views', 'wild-flowers']","['birding', 'camping', 'hiking', 'nature-trips', 'walking']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,Alder-Creek-Loop-Trail,California,https://www.alltrails.com/trail/us/California/Alder-Creek-Loop-Trail,37.57543,-119.68064
4,Alder Creek Falls,0.9555,1,Alder Creek Falls,Sequoia National Park,Johnsondale,California,United States,2574.944,50.9016,1,out and back,4.5,11,"['kids', 'waterfall']","['hiking', 'walking']",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Alder-Creek-Falls,California,https://www.alltrails.com/trail/us/California/Alder-Creek-Falls,36.02707,-118.51524
5,Alluvial Fan,0.67968,0,Alluvial Fan Trail,Rocky Mountain National Park,Estes Park,Colorado,United States,1126.538,61.8744,1,out and back,4.5,240,"['dogs-no', 'kids', 'partially-paved', 'river', 'views', 'waterfall', 'wild-flowers', 'wildlife']","['birding', 'hiking', 'nature-trips', 'walking']",1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,Alluvial-Fan-Trail,Colorado,https://www.alltrails.com/trail/us/Colorado/Alluvial-Fan-Trail,40.4098,-105.63232
6,Alpine Lakes Loop,0.80732,1,Bristlecone and Alpine Lakes Loop,Great Basin National Park,Baker,Nevada,United States,8529.502,308.7624,3,loop,4.5,37,"['forest', 'lake', 'views']","['birding', 'hiking', 'nature-trips', 'walking']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,Bristlecone-and-Alpine-Lakes-Loop,Nevada,https://www.alltrails.com/trail/us/Nevada/Bristlecone-and-Alpine-Lakes-Loop,39.01015,-114.30705
7,Alum Cave Trail,0.92126,1,Alum Cave Trail to Mount LeConte,Great Smoky Mountains National Park,Gatlinburg,Tennessee,United States,17219.938,916.8384,5,out and back,5,2122,"['cave', 'dogs-no', 'forest', 'river', 'views', 'waterfall', 'wild-flowers', 'wildlife']","['backpacking', 'birding', 'hiking']",1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,Alum-Cave-Trail-to-Mount-LeConte,Tennessee,https://www.alltrails.com/trail/us/Tennessee/Alum-Cave-Trail-to-Mount-LeConte,35.62957,-83.45172
8,Amphitheater Lake,0.81814,1,Delta Lake via Amphitheater Lake Trail,Grand Teton National Park,Moose,Wyoming,United States,14484.06,709.8792,5,out and back,5,553,"['dogs-no', 'forest', 'lake', 'views', 'wild-flowers', 'wildlife']","['birding', 'hiking', 'nature-trips']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,Delta-Lake-via-Amphitheater-Lake-Trail,Wyoming,https://www.alltrails.com/trail/us/Wyoming/Delta-Lake-via-Amphitheater-Lake-Trail,43.73484,-110.74153
9,Anacapa Island,0.77267,1,East Anacapa Island Trail,Channel Islands National Park,Ventura,California,United States,3862.416,115.824,1,loop,4.5,26,"['cave', 'dogs-no', 'kids', 'views', 'wild-flowers', 'wildlife']","['birding', 'camping', 'hiking', 'nature-trips', 'walking']",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,East-Anacapa-Island-Trail,California,https://www.alltrails.com/trail/us/California/East-Anacapa-Island-Trail,34.01662,-119.36207
