Trail Name,compound,RF_Sentiment
20 Lakes Basin Loop,0.8906428571428571,1
42-mile Scenic Loop Drive,0.70477,0
49 Palms Canyon Trail,0.8452299999999999,1
99 Mile Wilderness Waterway,0.5309857142857143,0
A-OK Corral / Horse Creek Ranch,0.9414199999999999,1
Abrams Falls Trail,0.8744099999999999,1
Acadia Mountain Trail,0.6028,0
Acadia National Park,0.8355600000000001,1
Adams Falls Trail,0.7143200000000001,0
Adobe Creek Loop Trail,0.8519,1
Agate Falls Scenic Site,0.34224,0
Aiea Loop Trail,0.6628499999999999,0
Alabama Coastal Birding Trail,0.64168,0
Alameda Creek Trail,0.66991,0
Alcove Springs,0.83956,1
Alder Creek Falls,0.9555,1
Alder Lake Park,0.8365,1
Alder Springs Trail,0.761,1
Alluvial Fan,0.6796800000000001,0
Alpine Lakes Loop,0.80732,1
Alpine Loop,0.70462,0
Alpine Slide at Magic Mountain,0.17995,0
Alta Laguna PArk,0.7531100000000001,1
Alum Cave Trail,0.92126,1
Amphitheater Lake,0.81814,1
Anacapa Island,0.77267,1
Anderson Valley,0.90001,1
Andrews Bald Trail,0.86532,1
Andrews Glacier Trail,0.8709571428571429,1
Angel Arch,0.9351,1
Angel Rocks Trail,0.8538399999999999,1
Angel's Landing,0.31663,0
Angeles National Forest,0.74112,0
Anhinga Trail,0.7541100000000001,1
Anthony Creek Trail,0.8718,1
Apgar Lookout Trail,0.78433,1
Apikuni Falls,0.72356,0
Apostle Islands National Lakeshore Ice Caves,0.8218399999999999,1
Appalachian Gap Distillery,0.68954,0
Appalachian National Scenic Trail,0.8112600000000001,1
Appalachian Trail,0.71322,0
Appistoki Falls,-0.5517,0
Apple Capital Loop Trail,0.57482,0
Aqua Canyon Connecting Trail,0.57204,0
Arch Rock Nature Trail,0.74196,0
Arches National Park,0.78679,1
Art Smith Trail,0.6336,0
Artist Bluff Trail,0.90784,1
Artist's Drive,0.56738,0
Artists Point,0.8185399999999999,1
Ash River Visitor Center,0.78043,1
Aster Falls,0.86219,1
Astoria-Megler Bridge,0.66302,0
Avalanche Creek Trail,0.8299333333333333,1
Avalanche Lake,0.65613,0
Avalanche Peak Trail,0.79222,1
Bacon Creek Park,0.6928,0
Badger House Community,0.9382,1
Badger Pass Ski Area,0.57496,0
Badger State Trail,0.41372,0
Badwater,0.50347,0
Bailey Island Bridge (Cribstone Bridge),0.78636,1
Bailey's Woods Trail,0.56474,0
Bailly Homestead and Chellberg Farm,0.65839,0
Baker Lake,0.5686,0
Baker Lake Trail,0.8356428571428571,1
Balanced Rock Trail,0.8471399999999999,1
Balancing Rocks,0.4405125,0
Balconies Cliffs Trails,0.79751,1
Balcony House,0.70058,0
Bald Mountain,0.87356,1
Bald Mountain Trail,0.868,1
Bald Peak State Park,0.34353999999999996,0
Bald Rock Dome Trail,0.5608666666666666,0
Balsam Mountain Road,0.7885500000000001,1
Barker Dam Trail,0.48025,0
Bartlett Cove,0.67079,0
Barton Creek - Palmer Lakeside Golf Course,0.88713,1
Basin Creek Lakes Trail,0.68159,0
Baskins Creek Falls,0.7869200000000001,1
Battle Creek Falls,0.8637900000000001,1
Battle Road Trail,0.5928,0
Baxter Creek Trail,0.9201,1
Bay Trail,0.7216400000000001,0
Beachcroft Path Trail,0.71445,0
Bear Cave Trail,0.8527699999999999,1
Bear Creek National Recreation Trail,0.92492,1
Bear Creek Trail Rides and Stable,0.55436,0
Bear Gulch Caves,0.8898999999999999,1
Bear Lake,0.85997,1
Bear Lake State Park,0.67397,0
Bear Lake Trailhead,0.8936,1
Bear Mountain State Park,0.62805,0
Beaver Islands Trail,0.8360799999999999,1
Beaver Lake Trail,0.50768,0
Beaver Pond Overlook,0.4841,0
Beaver Ponds Loop Trail,0.69802,0
Beavers Bend Resort Park,0.52376,0
Bechler Ranger Station Trailhead,0.8748,1
Bechler River Trail,0.8537,1
Beech Cliff Loop,0.8659800000000001,1
Beech Mountain Trail,0.67038,0
Beehive Basin Trail,0.7673,1
Belly River,0.73295,0
Berkeley Fire Trails,0.6995899999999999,0
Bierstadt Lake,0.69402,0
Big Baldy,0.77213,1
Big Bend National Park - Fossil Bone Exhibit,0.65384,0
Big Bradley falls,0.24803000000000003,0
Big Creek Trail,0.9656750000000001,1
Big Dry Creek Trail,0.78766,1
Big Fork Ridge Loop Trail,0.8834,1
Big Horns,0.90521,1
Big Oak Flat Road,0.3585,0
Big Spring Canyon Overlook,0.62474,0
Big Stump Basin,0.52925,0
Big Trees Trail,0.8350899999999999,1
Bill Hall Trail,0.9077000000000001,1
Billy Goat Trail,0.82873,1
Biscuit Basin,0.66591,0
Bishop Castle,0.91851,1
Bishop Pass Trail,0.79175,1
Bishop’s Bog Preserve Trail,0.85531,1
Black Creek Trail,0.7937000000000001,1
Black Dragon Canyon Trail,0.52059,0
Black Gap WMA,0.574975,0
Black Hills Maze,0.73865,0
Black Lake Trail,0.9684200000000001,1
Black Mountain Loop,0.65927,0
Black Mountain Trail,0.78294,1
Black Pond Wildlife Management Area,0.31533999999999995,0
Black Rock Mountain State Park,0.82456,1
Black Sand Basin,0.6336299999999999,0
Blue Creek Trail,0.8383,1
Blue Hen Falls,0.6530699999999999,0
Blue Lake Trail,0.86226,1
Blue Lakes Trail,0.7936300000000001,1
Blue Mesa,0.75403,1
Blueberry Hill,0.6577,0
Boca Grande Bike Trail,0.59572,0
Boicourt Overlook Trail,0.66733,0
Boiling River,0.78155,1
Boiling Springs Lake,0.8228899999999999,1
Bootleg Canyon Mountain Bike Trail,0.79177,1
Boston Mills / Brandywine Ski Resort,0.44356,0
