name,area_name,city_name,state_name,country_name,length,elevation_gain,difficulty_rating,route_type,avg_rating,num_reviews,features,activities,river,beach,strollers,forest,city-walk,partially-paved,kids,rails-trails,dogs,waterfall,dogs-leash,ada,paved,hot-springs,views,dogs-no,cave,historic-site,wildlife,wild-flowers,lake,mountain-biking,surfing,off-road-driving,camping,walking,fishing,whitewater-kayaking,road-biking,horseback-riding,rails-trails,skiing,backpacking,scenic-driving,paddle-sports,sea-kayaking,canoeing,trail-running,bike-touring,birding,rock-climbing,cross-country-skiing,snowshoeing,ice-climbing,snowboarding,hiking,fly-fishing,nature-trips,update_name,update_state,trail_url,Lat,Lng
Harding Ice Field Trail,Kenai Fjords National Park,Seward,Alaska,United States,15610.598,1161.8976,5,out and back,5.0,423,"['dogs-no', 'forest', 'river', 'views', 'waterfall', 'wild-flowers', 'wildlife']","['birding', 'camping', 'hiking', 'nature-trips', 'trail-running']",1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,Harding-Ice-Field-Trail,Alaska,https://www.alltrails.com/trail/us/Alaska/Harding-Ice-Field-Trail,60.18852,-149.63156
Mount Healy Overlook Trail,Denali National Park,Denali National Park,Alaska,United States,6920.162,507.7968,3,out and back,4.5,260,"['dogs-no', 'forest', 'views', 'wild-flowers', 'wildlife']","['birding', 'camping', 'hiking', 'nature-trips', 'walking']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,Mount-Healy-Overlook-Trail,Alaska,https://www.alltrails.com/trail/us/Alaska/Mount-Healy-Overlook-Trail,63.73049,-148.91968
Exit Glacier Trail,Kenai Fjords National Park,Seward,Alaska,United States,2896.812,81.9912,1,out and back,4.5,224,"['dogs-no', 'partially-paved', 'views', 'wildlife']","['hiking', 'walking']",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Exit-Glacier-Trail,Alaska,https://www.alltrails.com/trail/us/Alaska/Exit-Glacier-Trail,60.18879,-149.631
Horseshoe Lake Trail,Denali National Park,Denali National Park,Alaska,United States,3379.614,119.7864,1,loop,4.5,237,"['dogs-no', 'forest', 'lake', 'kids', 'views', 'wild-flowers', 'wildlife']","['birding', 'hiking', 'nature-trips', 'trail-running', 'walking']",0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,Horseshoe-Lake-Trail,Alaska,https://www.alltrails.com/trail/us/Alaska/Horseshoe-Lake-Trail,63.73661,-148.915
Triple Lakes Trail,Denali National Park,Denali National Park,Alaska,United States,29772.79,1124.712,5,out and back,4.5,110,"['dogs-no', 'lake', 'views', 'wild-flowers', 'wildlife']","['birding', 'fishing', 'hiking', 'nature-trips', 'trail-running']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,Triple-Lakes-Trail,Alaska,https://www.alltrails.com/trail/us/Alaska/Triple-Lakes-Trail,63.73319,-148.89682
Bison Gulch,Denali National Park,Denali National Park,Alaska,United States,11265.38,1178.9664,5,out and back,4.5,43,"['dogs-no', 'forest', 'views', 'wildlife']","['hiking', 'nature-trips']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,Bison-Gulch,Alaska,https://www.alltrails.com/trail/us/Alaska/Bison-Gulch,63.80507,-148.95336
Rock Creek Trail,Denali National Park,Denali National Park,Alaska,United States,7081.096,287.7312,3,out and back,4.0,39,"['dogs-no', 'forest', 'views', 'wild-flowers', 'wildlife']","['birding', 'hiking', 'nature-trips', 'trail-running', 'walking']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,Rock-Creek-Trail,Alaska,https://www.alltrails.com/trail/us/Alaska/Rock-Creek-Trail,63.73056,-148.91955
Taiga Trail,Denali National Park,Denali National Park,Alaska,United States,2574.944,62.7888,3,loop,4.0,27,"['dogs-no', 'forest', 'views', 'wild-flowers', 'wildlife']","['birding', 'hiking', 'nature-trips', 'trail-running', 'walking']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,Taiga-Trail,Alaska,https://www.alltrails.com/trail/us/Alaska/Taiga-Trail,63.73043,-148.91922
McKinley Station Trail,Denali National Park,Denali National Park,Alaska,United States,4667.086,113.9952,1,loop,4.5,21,"['dogs-no', 'forest', 'kids', 'views', 'wild-flowers', 'wildlife']","['birding', 'hiking', 'nature-trips', 'trail-running', 'walking']",0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,McKinley-Station-Trail,Alaska,https://www.alltrails.com/trail/us/Alaska/McKinley-Station-Trail,63.73324,-148.89659
Mount Thorofare Ridge Loop,Denali National Park,Cantwell,Alaska,United States,6598.294,507.7968,5,loop,4.5,5,"['forest', 'views', 'wild-flowers', 'wildlife']",['hiking'],0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Mount-Thorofare-Ridge-Loop,Alaska,https://www.alltrails.com/trail/us/Alaska/Mount-Thorofare-Ridge-Loop,63.43108,-150.31096
McKinley Bar Trail,Denali National Park,Denali National Park,Alaska,United States,7402.964,295.9608,1,out and back,4.0,17,"['dogs-no', 'lake', 'kids', 'river', 'views', 'wildlife']","['birding', 'hiking', 'nature-trips', 'walking']",1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,McKinley-Bar-Trail,Alaska,https://www.alltrails.com/trail/us/Alaska/McKinley-Bar-Trail,63.45799,-150.85
Tiaga Loop and Horseshoe Lake Trail to Beaver Dam,Denali National Park,Denali National Park,Alaska,United States,4828.02,158.8008,3,loop,4.5,15,"['dogs-no', 'forest', 'lake', 'views']","['birding', 'hiking', 'nature-trips', 'walking']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,Tiaga-Loop-and-Horseshoe-Lake-Trail-to-Beaver-Dam,Alaska,https://www.alltrails.com/trail/us/Alaska/Tiaga-Loop-and-Horseshoe-Lake-Trail-to-Beaver-Dam,63.73128,-148.9171
Blueberry Hill Trail,Denali National Park,Denali National Park,Alaska,United States,1448.406,46.9392,3,out and back,4.5,6,"['dogs-no', 'lake', 'views', 'wildlife']",['hiking'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Blueberry-Hill-Trail,Alaska,https://www.alltrails.com/trail/us/Alaska/Blueberry-Hill-Trail,63.49541,-150.88137
Stampede Trail to Sushana River,Denali National Park,Healy,Alaska,United States,61476.788,1292.9616,5,out and back,4.5,3,"['historic-site', 'river', 'wild-flowers', 'wildlife']","['backpacking', 'camping', 'hiking', 'nature-trips']",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,Stampede-Trail-to-Sushana-River,Alaska,https://www.alltrails.com/trail/us/Alaska/Stampede-Trail-to-Sushana-River,63.88374,-149.26764
Bartlett Cove Forest Loop Trail,Glacier Bay National Park,Gustavus,Alaska,United States,1770.274,33.8328,1,loop,4.5,14,"['dogs-no', 'kids', 'views', 'wild-flowers', 'wildlife']","['birding', 'hiking', 'nature-trips', 'walking', 'sea-kayaking']",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,Bartlett-Cove-Forest-Loop-Trail,Alaska,https://www.alltrails.com/trail/us/Alaska/Bartlett-Cove-Forest-Loop-Trail,58.45462,-135.88312
Camp Ridge Trail,Denali National Park,Denali National Park,Alaska,United States,6759.228,538.8864,5,out and back,5.0,8,"['dogs-no', 'forest', 'views', 'wildlife']","['hiking', 'trail-running']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,Camp-Ridge-Trail,Alaska,https://www.alltrails.com/trail/us/Alaska/Camp-Ridge-Trail,63.52451,-150.96072
Jonesville Trail,Denali National Park,Denali National Park,Alaska,United States,1448.406,52.7304,1,out and back,4.0,11,"['dogs-no', 'forest', 'kids', 'views', 'wild-flowers', 'wildlife']","['birding', 'hiking', 'nature-trips', 'walking']",0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,Jonesville-Trail,Alaska,https://www.alltrails.com/trail/us/Alaska/Jonesville-Trail,63.73334,-148.89618
Roadside Trail,Denali National Park,Denali National Park,Alaska,United States,5471.756,214.884,1,out and back,4.0,13,"['forest', 'kids', 'wildlife']","['hiking', 'trail-running']",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,Roadside-Trail,Alaska,https://www.alltrails.com/trail/us/Alaska/Roadside-Trail,63.73034,-148.91945
Quigley Ridge Trail,Denali National Park,Denali National Park,Alaska,United States,14644.994,730.9104,3,out and back,4.5,5,"['dogs-no', 'views']","['hiking', 'trail-running', 'canoeing']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,Quigley-Ridge-Trail,Alaska,https://www.alltrails.com/trail/us/Alaska/Quigley-Ridge-Trail,63.52444,-150.96015
